MES ENSO YEAR
NDJ -0.2 2012
DJF -0.4 2013
JFM -0.4 2013
FMA -0.3 2013
MAM -0.3 2013
AMJ -0.4 2013
MJJ -0.4 2013
JJA -0.4 2013
JAS -0.3 2013
ASO -0.3 2013
SON -0.2 2013
OND -0.2 2013
NDJ -0.3 2013
DJF -0.4 2014
JFM -0.5 2014
FMA -0.3 2014
MAM 00.0 2014
AMJ 00.2 2014
MJJ 00.2 2014
JJA 00.0 2014
JAS 00.1 2014
ASO 00.2 2014
SON 00.5 2014
OND 00.6 2014
NDJ 00.7 2014
DJF 00.5 2015
JFM 00.5 2015
FMA 00.5 2015
MAM 00.7 2015
AMJ 00.9 2015
MJJ 01.2 2015
JJA 01.5 2015
JAS 01.9 2015
ASO 02.2 2015
SON 02.4 2015
OND 02.6 2015
NDJ 02.6 2015
DJF 02.5 2016
JFM 02.1 2016
FMA 01.6 2016
MAM 00.9 2016
AMJ 00.4 2016
MJJ -0.1 2016
JJA -0.4 2016
JAS -0.5 2016
ASO -0.6 2016
SON -0.7 2016
OND -0.7 2016
NDJ -0.6 2016
DJF -0.3 2017
JFM -0.2 2017
FMA 00.1 2017
MAM 00.2 2017
AMJ 00.3 2017
MJJ 00.3 2017
JJA 00.1 2017
JAS -0.1 2017
ASO -0.4 2017
SON -0.7 2017
OND -0.8 2017
NDJ -1.0 2017
DJF -0.9 2018
JFM -0.9 2018
FMA -0.7 2018
MAM -0.5 2018
AMJ -0.2 2018
MJJ 00.0 2018
JJA 00.1 2018
JAS 00.2 2018
ASO 00.5 2018
SON 00.8 2018
OND 00.9 2018
NDJ 00.8 2018
DJF 00.7 2019
JFM 00.7 2019
FMA 00.7 2019
MAM 00.7 2019
AMJ 00.5 2019
MJJ 00.5 2019
JJA 00.3 2019
JAS 00.1 2019
ASO 00.2 2019
SON 00.3 2019
OND 00.5 2019
NDJ 00.5 2019
DJF 00.5 2020
JFM 00.5 2020
FMA 00.4 2020
MAM 00.2 2020
AMJ -0.1 2020
MJJ -0.3 2020
JJA -0.4 2020
JAS -0.6 2020
ASO -0.9 2020
SON -1.2 2020
OND -1.3 2020
NDJ -1.2 2020
