mes y2009 y2011 y2019 y2020
jan 264.8 065.7 266.0 045.3
fev 238.0 090.9 075.7 023.8
mar 086.5 144.4 024.5 041.0
abr 002.4 111.5 085.6 099.6
mai 089.4 118.3 082.4 091.1
jun 082.0 116.2 039.8 221.1
jul 043.1 071.0 130.2 103.1
ago 148.3 114.2 103.0 049.4
set 167.7 075.1 147.8 184.2
out 086.8 075.9 264.9 116.7
nov 421.3 060.3 101.7 029.1
dez 076.8 053.7 038.3 139.3
