Estação,Código,Latitude,Longitude,Altitude,Estado,Municipio,Chuva,Vazao,Data
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-01 14:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-01 14:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-01 14:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 14:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 18:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 18:15:00
