data utc tins tmax tmin urins urmax urmin tdins tdmax tdmin presins presmax presmin vel dir raj rad prec
02/01/2019 1000 26,0 26,0 25,4 90,0 91,0 87,0 24,3 24,3 23,7 997,0 997,0 995,0 0,4 147,0 2,1 127,68 0,0
02/01/2019 1100 28,4 28,6 26,0 78,0 90,0 78,0 24,2 25,4 24,2 1002,4 1002,4 997,1 0,6 40,0 2,1 553,13 0,0
02/01/2019 1200 30,2 30,2 28,2 75,0 80,0 74,0 25,2 25,7 24,3 1007,2 1007,3 1002,4 1,7 336,0 4,1 1680,39 0,0
02/01/2019 1300 31,6 31,6 30,0 69,0 76,0 68,0 25,2 26,1 24,8 1003,0 1007,5 1003,0 3,0 330,0 6,6 2640,07 0,2
02/01/2019 1400 32,9 32,9 31,6 67,0 71,0 64,0 26,0 26,0 24,7 1000,5 1003,0 1000,4 2,2 331,0 8,1 3039,92 0,0
02/01/2019 1500 33,9 34,1 32,7 61,0 68,0 61,0 25,5 26,5 24,8 998,7 1000,9 998,6 2,9 320,0 8,1 3607,05 0,0
02/01/2019 1600 33,7 34,3 33,2 60,0 64,0 58,0 24,9 26,3 24,3 996,9 999,0 996,9 3,3 321,0 9,2 3432,00 0,0
02/01/2019 1700 34,4 34,7 32,9 59,0 63,0 55,0 25,1 25,5 24,4 995,9 997,0 994,7 3,4 332,0 9,2 2600,36 0,0
02/01/2019 1800 35,1 35,2 33,9 55,0 62,0 54,0 24,6 26,0 24,4 995,6 996,4 995,5 3,8 325,0 9,3 3041,66 0,0
02/01/2019 1900 35,0 35,6 34,0 54,0 58,0 51,0 24,2 25,3 23,7 993,8 995,7 993,4 3,5 332,0 10,0 2668,92 0,0
02/01/2019 2000 34,4 35,6 34,2 55,0 56,0 51,0 24,2 25,0 23,4 991,1 994,1 991,1 4,2 337,0 11,5 2423,18 0,0
02/01/2019 2100 34,3 34,7 34,3 54,0 57,0 54,0 23,7 24,7 23,7 989,8 991,1 989,7 3,4 331,0 8,6 1547,43 0,0
02/01/2019 2200 33,3 34,5 33,3 58,0 59,0 54,0 24,0 24,4 23,8 985,2 990,2 985,2 2,1 323,0 7,8 440,82 0,0
02/01/2019 2300 31,0 33,3 31,0 67,0 67,0 58,0 24,3 24,4 24,0 983,4 985,3 983,4 1,0 335,0 5,4 50,41 0,0
03/01/2019 0000 29,0 31,0 29,0 79,0 79,0 67,0 25,0 25,0 24,3 983,1 983,5 982,6 0,3 335,0 2,3 0,0 0,0
03/01/2019 0100 28,5 29,0 28,5 81,0 81,0 78,0 24,9 25,0 24,8 985,6 985,6 983,1 0,3 41,0 1,0 0,0 0,0
03/01/2019 0200 28,2 28,6 28,2 80,0 81,0 79,0 24,5 24,8 24,4 988,2 988,2 985,6 0,3 325,0 0,8 0,0 0,0
03/01/2019 0300 27,8 28,2 27,6 84,0 84,0 80,0 24,8 24,9 24,4 989,6 989,6 988,2 0,4 281,0 1,6 0,0 0,0
03/01/2019 0400 27,7 27,9 27,3 86,0 86,0 83,0 25,0 25,0 24,7 990,5 990,5 989,6 1,0 341,0 2,6 0,0 0,0
03/01/2019 0500 27,0 27,9 26,8 91,0 92,0 85,0 25,5 25,5 24,9 991,2 991,4 990,5 1,0 335,0 2,6 0,0 0,6
