Titulo,Subtitulo,Link
Arcabouço fiscal: relator vai retirar fundo da educação do limite de gastos,,https://g1.globo.com/economia/blog/ana-flor/post/2023/06/19/relator-diz-que-vai-retirar-fundeb-e-fundo-constitucional-do-df-da-nova-regra-fiscal.ghtml
Novo ministro do STF terá sala de 350m² que já foi de Moraes,,https://g1.globo.com/politica/noticia/2023/06/19/veja-a-recepcao-do-gabinete-que-vai-ser-ocupado-pelo-novo-ministro-do-stf-zanin-sera-sabatinado-na-quarta.ghtml
Guarda Costeira diz que submarino sumiu em área remota: 'Desafio',,https://g1.globo.com/mundo/noticia/2023/06/19/guarda-costeira-submarino-turistico-desapareceu-titanic.ghtml
"PRF 'descarregou fuzil', diz marido de mulher morta em blitz",,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/06/19/marido-de-mulher-baleada-em-abordagem-da-prf-diz-que-ela-foi-assassinada-por-policial-ele-descarregou-o-fuzil.ghtml
Alunos baleados em escola eram namorados; menina morreu,,https://g1.globo.com/pr/norte-noroeste/noticia/2023/06/19/jovem-morta-e-rapaz-atingido-na-cabeca-por-tiro-em-colegio-do-parana-eram-namorados-diz-familia.ghtml
"'Menina de ouro', diz pai de estudante assassinada em colégio",,https://g1.globo.com/pr/norte-noroeste/noticia/2023/06/19/minha-filha-e-uma-menina-de-ouro-e-nao-merecia-o-que-aconteceu-diz-pai-de-estudante-morta-a-tiros-em-colegio-no-parana.ghtml
STF marca primeiros depoimentos em ações dos atos golpistas,,https://g1.globo.com/politica/noticia/2023/06/19/stf-marca-primeiros-depoimentos-em-acoes-penais-dos-atos-golpistas.ghtml
Marinha acha barco que afundou; 2 seguem desaparecidos,,https://g1.globo.com/sc/santa-catarina/noticia/2023/06/19/marinha-identifica-posicao-de-barco-pesqueiro-que-naufragou-em-sc.ghtml
